index,subject,verb,object,start,end,subj_dep,subj_tag,obj_dep,obj_tag,Document,clean_verbs,clean_objs
280184,using,hurts,foreigners,1456,1471,csubj,VBG,dobj,NNS,8550,hurt,foreigner
280193,border agents,are hurting,immigrants,1682,1710,nsubj,NNS,dobj,NNS,8550,hurt,immigrant
280195,immigration,does not harm,americans,1770,1778,nsubj,NN,dobj,NNPS,8550,harm,american
280353,that,use,interviewers,376,385,nsubj,WDT,dobj,NNS,8555,use,interviewer
280640,this,will not stop,conservatives,67,72,nsubj,DT,dobj,NNS,8563,stop,conservative
280736,church,might abandon,boy scouts,1054,1062,nsubj,NN,dobj,NNS,8566,abandon,boy scout
280778,tripoli court,has sentenced,son,2347,2358,nsubj,NN,dobj,NN,8566,sentence,son
280826,you,cannot rape,spouse,0,27,nsubj,PRP,dobj,NN,8568,rape,spouse
280827,people,to prosecute,spouse,39,50,nsubj,NNS,dobj,NN,8568,prosecute,spouse
280841,you,can’t rape,spouse,353,377,nsubj,PRP,dobj,NN,8568,rape,spouse
280842,you,cannot rape,spouse,383,388,nsubj,PRP,dobj,NN,8568,rape,spouse
280852,trump,to rape,wife,731,758,nsubj,NNP,dobj,NN,8568,rape,wife
280853,husband,raped,wife,823,843,nsubj,NN,dobj,NN,8568,rape,wife
280858,that,treated,women,923,962,nsubj,WDT,dobj,NNS,8568,treat,woman
280986,survey,excluded,fathers,654,658,nsubj,NN,dobj,NNS,8572,exclude,father
281024,space experts,criticized,virgin,849,857,nsubj,NNS,dobj,NNP,8573,criticize,virgin
281076,secrecy,leads,republicans,1664,1678,nsubj,NN,dobj,NNPS,8574,lead,republican
281104,that,killed,americans,2315,2347,nsubj,WDT,dobj,NNPS,8574,kill,american
281223,they,welcome,immigrants,607,636,nsubj,PRP,dobj,NNS,8577,welcome,immigrant
281227,who,reject,immigrants,708,714,nsubj,WP,dobj,NNS,8577,reject,immigrant
281228,who,reject,immigrants,784,795,nsubj,WP,dobj,NNS,8577,reject,immigrant
281231,who,reject,immigrants,842,869,nsubj,WP,dobj,NNS,8577,reject,immigrant
281240,they,accepted,immigrants,1343,1353,nsubj,PRP,dobj,NNS,8577,accept,immigrant
281241,who,accepted,immigrant,1376,1388,nsubj,WP,dobj,NN,8577,accept,immigrant
281273,america,needs,workers,3259,3291,nsubj,NNP,dobj,NNS,8577,need,worker
281337,she,was not respecting,father,2381,2415,nsubj,PRP,dobj,NN,8578,respect,father
281390,that,harm,women,940,948,nsubj,WDT,dobj,NNS,8579,harm,woman
281417,husbands,beating,wives,1829,1860,nsubj,NNS,dobj,NNS,8579,beat,wife
281453,he,has urged,americans,2828,2854,nsubj,PRP,dobj,NNPS,8579,urge,american
281493,donald trump,stunned,rivals,0,14,nsubj,NNP,dobj,NNS,8581,stun,rival
281628,you,can’t rape,spouse,578,595,nsubj,PRP,dobj,NN,8586,rape,spouse
281716,tatum,surprised,fans,66,72,nsubj,NNP,dobj,NNS,8588,surprise,fan
281751,that,scare,conservative,744,765,nsubj,WDT,dobj,NN,8589,scare,conservative
281838,sen. marco rubio,greets,supporters,611,627,nsubj,NNP,dobj,NNS,8591,greet,supporter
281865,that,guide,reporters,1113,1173,nsubj,WDT,dobj,NNS,8591,guide,reporter
281940,pkk,killed,policemen,1037,1043,nsubj,NNP,dobj,NNS,8592,kill,policeman
282137,proponents,have been challenging,critics,103,113,nsubj,NNS,dobj,NNS,8598,challenge,critic
282168,representatives,urged,students,100,103,nsubj,NNS,dobj,NNS,8599,urge,student
282382,government,was holding,children,376,383,nsubj,NN,dobj,NNS,8604,hold,child
282418,government,was detaining,children,1192,1203,nsubj,NN,dobj,NNS,8604,detain,child
282422,who,had interviewed,children,1337,1343,nsubj,WP,dobj,NNS,8604,interview,child
282489,he,'s using,man,1026,1063,nsubj,PRP,dobj,NN,8605,use,man
282668,that,allows,heroes,685,688,nsubj,DT,dobj,NNS,8610,allow,hero
282711,we,'ll be endorsing,person,308,328,nsubj,PRP,dobj,NN,8611,endorse,person
282834,they,treat,students,711,721,nsubj,PRP,dobj,NNS,8614,treat,student
282836,who,shot,man,783,795,nsubj,WP,dobj,NN,8614,shoot,man
282950,who,shot,man,0,11,nsubj,WP,dobj,NN,8616,shoot,man
283360,employers,to exploit,workers,506,514,nsubj,NNS,dobj,NNS,8626,exploit,worker
283481,they,find,victim,1230,1261,nsubj,PRP,dobj,NN,8628,find,victim
283605,pipeline,hurts,students,215,225,nsubj,NN,dobj,NNS,8632,hurt,student
283613,researchers,studied,police officers,586,623,nsubj,NNS,dobj,NNS,8632,study,police officer
283617,researchers,interviewed,college students,690,703,nsubj,NNS,dobj,NNS,8632,interview,college student
283642,he,would deport,immigrants,65,97,nsubj,PRP,dobj,NNS,8634,deport,immigrant
283928,i,don't trick,fans,652,657,nsubj,PRP,dobj,NNS,8640,trick,fan
284004,he,'d deport,immigrants,0,20,nsubj,PRP,dobj,NNS,8642,deport,immigrant
284042,regime,shot,brothers,550,569,nsubj,NN,dobj,NNS,8643,shoot,brother
284067,we,welcome,immigrants,1124,1135,nsubj,PRP,dobj,NNS,8643,welcome,immigrant
284315,which,directs,secretary,853,868,nsubj,WDT,dobj,NN,8648,direct,secretary
284400,who,killed,brother,303,314,nsubj,WP,dobj,NN,8652,kill,brother
284422,who,killed,brother,738,746,nsubj,WP,dobj,NN,8652,kill,brother
284505,who,study,relations,82,103,nsubj,WP,dobj,NNS,8655,study,relation
284716,formula,ignores,women,416,420,nsubj,NN,dobj,NNS,8663,ignore,woman
284754,hollywood,forced,actors,588,610,nsubj,NNP,dobj,NNS,8665,force,actor
284822,it,doesn't hurt,worker,280,288,nsubj,PRP,dobj,NN,8667,hurt,worker
284969,her,murdering,brother,612,646,nsubj,PRP$,dobj,NN,8672,murder,brother
285010,hannibal,trains,daughter,1880,1884,nsubj,NNP,dobj,NN,8672,train,daughter
285184,he,asked,cops,460,487,nsubj,PRP,dobj,NNS,8679,ask,cop
285200,us immigration system,fails,victims,738,747,nsubj,NN,dobj,NNS,8679,fail,victim
285269,presentation,would inspire,students,34,48,nsubj,NN,dobj,NNS,8682,inspire,student
285481,corporations,don’t hire,americans,1455,1475,nsubj,NNS,dobj,NNPS,8685,hire,american
285580,wilson,criticized,colleagues,291,296,nsubj,NNP,dobj,NNS,8688,criticize,colleague
285753,congress,has banned,prisoners,119,128,nsubj,NNP,dobj,NNS,8692,ban,prisoner
286005,it,pays,employees,223,256,nsubj,PRP,dobj,NNS,8700,pay,employee
286086,setbacks,have pushed,athletes,986,996,nsubj,NNS,dobj,NNS,8702,push,athlete
286087,defeats,have pushed,athletes,986,996,conj,NNS,dobj,NNS,8702,push,athlete
286088,struggles,have pushed,athletes,986,996,conj,NNS,dobj,NNS,8702,push,athlete
286185,that,killed,americans,569,591,nsubj,WDT,dobj,NNPS,8705,kill,american
286415,rules,allow,senators,294,298,nsubj,NNS,dobj,NNS,8712,allow,senator
286433,you,need,workers,301,303,nsubj,PRP,dobj,NNS,8713,need,worker
286944,it,may have intimidated,enemies,497,502,nsubj,PRP,dobj,NNS,8725,intimidate,enemy
286961,justice system,hurts,americans,80,110,nsubj,NN,dobj,NNPS,8726,hurt,american
286976,japanese,identified,americans,341,351,nsubj,NNPS,dobj,NNPS,8727,identify,american
286977,quarter,identified,americans,357,367,nsubj,NN,dobj,NNPS,8727,identify,american
287208,leave,hurts,workers,682,686,nsubj,NN,dobj,NNS,8734,hurt,worker
287209,vacation,can overwhelm,workers,691,728,nsubj,NN,dobj,NNS,8734,overwhelm,worker
287222,it,leads,voters,216,246,nsubj,PRP,dobj,NNS,8735,lead,voter
287239,vote,has led,conservatives,971,978,nsubj,NN,dobj,NNS,8735,lead,conservative
287407,who,thrilled,republicans,307,313,nsubj,WP,dobj,NNPS,8740,thrill,republican
287538,he,'d urge,president,904,913,nsubj,PRP,dobj,NN,8745,urge,president
287580,you,don't defy,president,808,828,nsubj,PRP,dobj,NN,8747,defy,president
287643,nonviolent,should exclude,inmates,700,722,nsubj,NN,dobj,NNS,8748,exclude,inmate
287811,executives,are exploiting,capitalists,175,216,nsubj,NNS,dobj,NNS,8752,exploit,capitalist
288032,she,'s educating,uncle,413,463,nsubj,PRP,dobj,NN,8758,educate,uncle
288071,you,don't need,scapegoat,352,387,nsubj,PRP,dobj,NN,8759,need,scapegoat
288400,scientists,observe,star,1839,1843,nsubj,NNS,dobj,NN,8766,observe,star
288690,redfin,charged,customers,819,824,nsubj,NNP,dobj,NNS,8773,charge,customer
288864,united states,needs,allies,362,373,nsubj,NNP,dobj,NNS,8778,need,ally
288879,walked,would find,enemy,672,687,csubj,VBD,dobj,NN,8778,find,enemy
288907,nusra,would welcome,fighters,1568,1577,nsubj,NNP,dobj,NNS,8778,welcome,fighter
289098,body,guiding,person,1311,1329,nsubj,NN,dobj,NN,8784,guide,person
289117,airlines,trained,maid,229,246,nsubj,NNPS,dobj,NNP,8785,train,maid
